dgp,n,S_true,method,bias,rmse,coverage_95,reject_rate_H0_S_le_0,se_ratio,bandwidth_tag
ar1_t,240,0.5,naive_iid_normal,0.0107385160585127,0.10723479505749352,0.786,1.0,0.6440106575032118,na
ar1_t,240,0.5,robust_hac,0.0107385160585127,0.10723479505749352,0.878,1.0,0.8087628964783855,auto
ar1_t,240,0.5,robust_hac,0.0107385160585127,0.10723479505749352,0.862,1.0,0.7799493368243428,half
ar1_t,240,0.5,robust_hac,0.0107385160585127,0.10723479505749352,0.886,1.0,0.820424673963698,double
ar1_t,1200,0.0,naive_iid_normal,-0.0016618725687435516,0.0393588418272339,0.864,0.09,0.7336482226538305,na
ar1_t,1200,0.0,robust_hac,-0.0016618725687435516,0.0393588418272339,0.924,0.058,0.9463637884710704,auto
ar1_t,1200,0.0,robust_hac,-0.0016618725687435516,0.0393588418272339,0.92,0.058,0.9111608183948008,half
ar1_t,1200,0.0,robust_hac,-0.0016618725687435516,0.0393588418272339,0.928,0.058,0.9666885327353664,double
ar1_t,1200,0.5,naive_iid_normal,0.0003480279468258404,0.04427784543007704,0.83,1.0,0.6911613244513277,na
ar1_t,1200,0.5,robust_hac,0.0003480279468258404,0.04427784543007704,0.926,1.0,0.9339467530591997,auto
ar1_t,1200,0.5,robust_hac,0.0003480279468258404,0.04427784543007704,0.92,1.0,0.9042039188462634,half
ar1_t,1200,0.5,robust_hac,0.0003480279468258404,0.04427784543007704,0.928,1.0,0.95183506361761,double
garch11_t,120,0.0,naive_iid_normal,0.006356736466151696,0.09388199779374573,0.946,0.056,0.9757596749538131,na
garch11_t,120,0.0,robust_hac,0.006356736466151696,0.09388199779374573,0.936,0.062,0.9356403232836826,auto
garch11_t,120,0.0,robust_hac,0.006356736466151696,0.09388199779374573,0.938,0.064,0.9508960750222114,half
garch11_t,120,0.0,robust_hac,0.006356736466151696,0.09388199779374573,0.926,0.068,0.9081914075135276,double
garch11_t,120,0.5,naive_iid_normal,0.03306480136810384,0.13972704539854783,0.834,0.998,0.7204200275434572,na
garch11_t,120,0.5,robust_hac,0.03306480136810384,0.13972704539854783,0.834,0.994,0.7407998637656049,auto
garch11_t,120,0.5,robust_hac,0.03306480136810384,0.13972704539854783,0.83,0.994,0.744951954459788,half
garch11_t,120,0.5,robust_hac,0.03306480136810384,0.13972704539854783,0.832,0.994,0.7343971516916517,double
garch11_t,240,0.0,naive_iid_normal,-0.0013090685220302175,0.06698235486915852,0.942,0.05,0.9639803707089684,na
garch11_t,240,0.0,robust_hac,-0.0013090685220302175,0.06698235486915852,0.928,0.048,0.9453429467279065,auto
garch11_t,240,0.0,robust_hac,-0.0013090685220302175,0.06698235486915852,0.93,0.048,0.951528196680363,half
garch11_t,240,0.0,robust_hac,-0.0013090685220302175,0.06698235486915852,0.92,0.052,0.9324290739275012,double
garch11_t,240,0.5,naive_iid_normal,0.022447495068780597,0.09762765418064775,0.84,1.0,0.7247984052663842,na
garch11_t,240,0.5,robust_hac,0.022447495068780597,0.09762765418064775,0.862,1.0,0.7742935352609704,auto
garch11_t,240,0.5,robust_hac,0.022447495068780597,0.09762765418064775,0.85,1.0,0.7708834695596445,half
garch11_t,240,0.5,robust_hac,0.022447495068780597,0.09762765418064775,0.862,1.0,0.7763138495016133,double
garch11_t,1200,0.0,naive_iid_normal,0.00015844030206215072,0.026804751973824134,0.964,0.046,1.0760895727221143,na
garch11_t,1200,0.0,robust_hac,0.00015844030206215072,0.026804751973824134,0.964,0.048,1.0678083436772368,auto
garch11_t,1200,0.0,robust_hac,0.00015844030206215072,0.026804751973824134,0.964,0.046,1.0728306288108735,half
garch11_t,1200,0.0,robust_hac,0.00015844030206215072,0.026804751973824134,0.96,0.05,1.0594467433331018,double
garch11_t,1200,0.5,naive_iid_normal,0.004116246358583776,0.04528068808570821,0.812,1.0,0.6792233149930579,na
garch11_t,1200,0.5,robust_hac,0.004116246358583776,0.04528068808570821,0.87,1.0,0.7808378314360547,auto
garch11_t,1200,0.5,robust_hac,0.004116246358583776,0.04528068808570821,0.866,1.0,0.766375795503967,half
garch11_t,1200,0.5,robust_hac,0.004116246358583776,0.04528068808570821,0.882,1.0,0.8040236411222761,double
